sepal_length,sepal_width,petal_length,petal_width,species,date
5.2,3.4,1.4,0.2,setosa,2025-06-23
5.7,3.8,1.7,0.3,setosa,2025-06-23
5.8,4.0,1.2,0.2,setosa,2025-06-23
5.5,4.2,1.4,0.2,setosa,2025-06-23
4.8,3.0,1.4,0.1,setosa,2025-06-23
4.8,3.1,1.6,0.2,setosa,2025-06-23
6.3,2.5,4.9,1.5,versicolor,2025-06-23
5.0,3.0,1.6,0.2,setosa,2025-06-23
5.7,2.5,5.0,2.0,virginica,2025-06-23
5.7,2.8,4.5,1.3,versicolor,2025-06-23
6.5,3.0,5.2,2.0,virginica,2025-06-23
6.7,3.0,5.0,1.7,versicolor,2025-06-23
6.0,2.2,5.0,1.5,virginica,2025-06-23
5.5,2.3,4.0,1.3,versicolor,2025-06-23
6.2,2.2,4.5,1.5,versicolor,2025-06-23
5.9,3.0,4.2,1.5,versicolor,2025-06-23
5.1,2.5,3.0,1.1,versicolor,2025-06-23
4.9,2.5,4.5,1.7,virginica,2025-06-23
6.7,3.0,5.0,1.7,versicolor,2025-06-23
6.5,2.8,4.6,1.5,versicolor,2025-06-23
5.1,2.5,3.0,1.1,versicolor,2025-06-23
6.4,2.7,5.3,1.9,virginica,2025-06-23
6.5,3.0,5.5,1.8,virginica,2025-06-23
5.0,3.2,1.2,0.2,setosa,2025-06-23
6.6,3.0,4.4,1.4,versicolor,2025-06-23
5.0,2.3,3.3,1.0,versicolor,2025-06-23
5.9,3.0,4.2,1.5,versicolor,2025-06-23
6.2,2.9,4.3,1.3,versicolor,2025-06-23
5.7,2.6,3.5,1.0,versicolor,2025-06-23
6.4,2.8,5.6,2.1,virginica,2025-06-24
4.9,3.0,1.4,0.2,setosa,2025-06-24
7.7,2.8,6.7,2.0,virginica,2025-06-24
6.4,2.9,4.3,1.3,versicolor,2025-06-24
7.3,2.9,6.3,1.8,virginica,2025-06-24
6.7,3.0,5.0,1.7,versicolor,2025-06-24
5.5,4.2,1.4,0.2,setosa,2025-06-24
4.9,2.5,4.5,1.7,virginica,2025-06-24
6.2,3.4,5.4,2.3,virginica,2025-06-24
7.2,3.0,5.8,1.6,virginica,2025-06-24
6.0,2.2,4.0,1.0,versicolor,2025-06-24
5.9,3.0,4.2,1.5,versicolor,2025-06-24
5.1,3.7,1.5,0.4,setosa,2025-06-24
5.0,3.5,1.6,0.6,setosa,2025-06-24
6.1,2.8,4.7,1.2,versicolor,2025-06-24
5.8,2.8,5.1,2.4,virginica,2025-06-24
5.9,3.0,5.1,1.8,virginica,2025-06-24
5.1,3.8,1.5,0.3,setosa,2025-06-24
6.4,2.8,5.6,2.2,virginica,2025-06-24
4.6,3.1,1.5,0.2,setosa,2025-06-24
6.1,2.8,4.7,1.2,versicolor,2025-06-24
7.7,3.0,6.1,2.3,virginica,2025-06-24
6.4,2.8,5.6,2.2,virginica,2025-06-24
5.9,3.0,4.2,1.5,versicolor,2025-06-24
4.6,3.2,1.4,0.2,setosa,2025-06-24
5.2,3.4,1.4,0.2,setosa,2025-06-24
5.1,3.4,1.5,0.2,setosa,2025-06-24
5.7,4.4,1.5,0.4,setosa,2025-06-24
7.7,2.8,6.7,2.0,virginica,2025-06-24
4.8,3.4,1.6,0.2,setosa,2025-06-24
4.6,3.6,1.0,0.2,setosa,2025-06-24
4.9,3.6,1.4,0.1,setosa,2025-06-24
5.1,3.4,1.5,0.2,setosa,2025-06-24
7.7,2.8,6.7,2.0,virginica,2025-06-24
5.1,3.7,1.5,0.4,setosa,2025-06-24
5.7,2.6,3.5,1.0,versicolor,2025-06-24
4.5,2.3,1.3,0.3,setosa,2025-06-24
6.1,3.0,4.9,1.8,virginica,2025-06-24
7.4,2.8,6.1,1.9,virginica,2025-06-24
5.8,2.6,4.0,1.2,versicolor,2025-06-24
5.2,2.7,3.9,1.4,versicolor,2025-06-24
6.2,3.4,5.4,2.3,virginica,2025-06-24
4.6,3.1,1.5,0.2,setosa,2025-06-24
4.4,2.9,1.4,0.2,setosa,2025-06-24
5.7,2.8,4.1,1.3,versicolor,2025-06-24
4.5,2.3,1.3,0.3,setosa,2025-06-24
6.4,3.2,5.3,2.3,virginica,2025-06-24
5.5,2.5,4.0,1.3,versicolor,2025-06-24
5.5,2.6,4.4,1.2,versicolor,2025-06-24
6.3,2.7,4.9,1.8,virginica,2025-06-24
5.8,2.7,3.9,1.2,versicolor,2025-06-24
6.0,2.7,5.1,1.6,versicolor,2025-06-24
5.1,3.5,1.4,0.2,setosa,2025-06-24
6.0,2.2,5.0,1.5,virginica,2025-06-24
4.7,3.2,1.6,0.2,setosa,2025-06-24
5.4,3.4,1.5,0.4,setosa,2025-06-24
6.4,2.7,5.3,1.9,virginica,2025-06-24
5.7,2.9,4.2,1.3,versicolor,2025-06-24
5.5,2.5,4.0,1.3,versicolor,2025-06-24
5.0,3.5,1.3,0.3,setosa,2025-06-24
5.1,3.5,1.4,0.2,setosa,2025-06-24
6.2,3.4,5.4,2.3,virginica,2025-06-24
7.4,2.8,6.1,1.9,virginica,2025-06-24
5.9,3.2,4.8,1.8,versicolor,2025-06-24
5.7,2.6,3.5,1.0,versicolor,2025-06-24
5.7,3.8,1.7,0.3,setosa,2025-06-24
6.5,3.0,5.8,2.2,virginica,2025-06-24
5.5,2.5,4.0,1.3,versicolor,2025-06-24
4.9,2.4,3.3,1.0,versicolor,2025-06-24
6.2,2.2,4.5,1.5,versicolor,2025-06-24
7.7,2.8,6.7,2.0,virginica,2025-06-24
6.5,3.2,5.1,2.0,virginica,2025-06-24
5.7,4.4,1.5,0.4,setosa,2025-06-24
5.5,2.4,3.7,1.0,versicolor,2025-06-24
5.6,2.9,3.6,1.3,versicolor,2025-06-24
4.6,3.4,1.4,0.3,setosa,2025-06-24
6.5,3.0,5.5,1.8,virginica,2025-06-24
6.3,3.3,4.7,1.6,versicolor,2025-06-24
6.4,2.8,5.6,2.2,virginica,2025-06-24
5.4,3.9,1.7,0.4,setosa,2025-06-24
6.5,3.0,5.5,1.8,virginica,2025-06-24
5.4,3.9,1.7,0.4,setosa,2025-06-24
5.8,2.6,4.0,1.2,versicolor,2025-06-24
6.0,2.9,4.5,1.5,versicolor,2025-06-24
5.4,3.7,1.5,0.2,setosa,2025-06-24
4.9,3.6,1.4,0.1,setosa,2025-06-24
7.7,3.0,6.1,2.3,virginica,2025-06-24
4.8,3.0,1.4,0.1,setosa,2025-06-24
6.0,2.9,4.5,1.5,versicolor,2025-06-24
4.4,3.2,1.3,0.2,setosa,2025-06-24
6.5,3.2,5.1,2.0,virginica,2025-06-24
6.1,2.6,5.6,1.4,virginica,2025-06-24
6.0,2.9,4.5,1.5,versicolor,2025-06-24
5.5,2.5,4.0,1.3,versicolor,2025-06-24
7.2,3.6,6.1,2.5,virginica,2025-06-24
6.5,2.8,4.6,1.5,versicolor,2025-06-24
7.4,2.8,6.1,1.9,virginica,2025-06-24
4.9,3.1,1.5,0.1,setosa,2025-06-24
6.6,2.9,4.6,1.3,versicolor,2025-06-24
6.1,3.0,4.9,1.8,virginica,2025-06-24
5.6,2.5,3.9,1.1,versicolor,2025-06-24
4.6,3.1,1.5,0.2,setosa,2025-06-24
5.7,3.8,1.7,0.3,setosa,2025-06-24
5.4,3.9,1.3,0.4,setosa,2025-06-24
5.1,3.3,1.7,0.5,setosa,2025-06-24
5.7,2.8,4.5,1.3,versicolor,2025-06-24
6.9,3.1,4.9,1.5,versicolor,2025-06-24
7.2,3.2,6.0,1.8,virginica,2025-06-24
6.5,3.2,5.1,2.0,virginica,2025-06-24
4.9,3.0,1.4,0.2,setosa,2025-06-24
7.3,2.9,6.3,1.8,virginica,2025-06-24
5.0,3.4,1.6,0.4,setosa,2025-06-24
6.4,2.8,5.6,2.1,virginica,2025-06-24
4.9,2.5,4.5,1.7,virginica,2025-06-24
5.8,2.6,4.0,1.2,versicolor,2025-06-24
7.1,3.0,5.9,2.1,virginica,2025-06-24
6.3,2.3,4.4,1.3,versicolor,2025-06-24
5.7,2.9,4.2,1.3,versicolor,2025-06-24
6.3,2.9,5.6,1.8,virginica,2025-06-24
5.8,2.7,4.1,1.0,versicolor,2025-06-24
4.9,3.0,1.4,0.2,setosa,2025-06-24
4.7,3.2,1.3,0.2,setosa,2025-06-24
5.7,2.9,4.2,1.3,versicolor,2025-06-24
5.0,3.5,1.3,0.3,setosa,2025-06-24
5.9,3.2,4.8,1.8,versicolor,2025-06-24
5.0,2.3,3.3,1.0,versicolor,2025-06-24
5.0,3.4,1.6,0.4,setosa,2025-06-24
5.5,2.3,4.0,1.3,versicolor,2025-06-24
5.1,3.7,1.5,0.4,setosa,2025-06-24
6.7,3.0,5.2,2.3,virginica,2025-06-24
5.8,2.7,3.9,1.2,versicolor,2025-06-24
5.6,3.0,4.5,1.5,versicolor,2025-06-24
5.1,3.7,1.5,0.4,setosa,2025-06-24
4.4,3.0,1.3,0.2,setosa,2025-06-24
4.8,3.0,1.4,0.1,setosa,2025-06-24
5.3,3.7,1.5,0.2,setosa,2025-06-24
4.6,3.2,1.4,0.2,setosa,2025-06-24
5.2,3.4,1.4,0.2,setosa,2025-06-24
5.0,2.3,3.3,1.0,versicolor,2025-06-24
5.8,2.7,3.9,1.2,versicolor,2025-06-24
4.6,3.4,1.4,0.3,setosa,2025-06-24
6.1,2.8,4.7,1.2,versicolor,2025-06-24
4.9,3.1,1.5,0.2,setosa,2025-06-24
7.1,3.0,5.9,2.1,virginica,2025-06-24
6.3,2.7,4.9,1.8,virginica,2025-06-24
5.7,2.9,4.2,1.3,versicolor,2025-06-24
6.9,3.2,5.7,2.3,virginica,2025-06-24
4.9,3.0,1.4,0.2,setosa,2025-06-24
6.5,3.2,5.1,2.0,virginica,2025-06-24
5.0,3.2,1.2,0.2,setosa,2025-06-24
